テーマＩＤ,問題ＩＤ,,タイトル,問題本文,解説,解答１,解答２,解答３,解答４,解答５,解答６,解答７,解答８,解答９,解答１０
1,1,,電気事業法の目的,この法律は、{1}を{2}ならしめることによって*{3}を保護*し、及び*電気事業の{4}*を図るとともに、*電気工作物の{5}を規制*することによって、*{6}を確保*し、及び{7}を図ることを*目的*とする。,電気事業法第1条（目的）より,電気事業の運営/電気設備の運用/電気事業の運用/電気設備の保守,適正かつ合理的/適切かつ経済的/適正かつ経済的/円滑かつ合理的,電気の使用者#の利益/電気の利用者#の収益/供給設備/受電設備,健全な発達/円滑な運営/適正な運営/円滑な発展,工事、維持#及び運用/巡視、点検#及び検査/工事、管理#及び運営/施工、保守#及び監督,公共の安全/安定供給/電源品質/供給能力,環境の保全/環境の改善/供給能力の向上/供給能力の維持,,,
1,2,,電気事業法の定義（1a）,*一般の需要*に応じ電気を供給することを何という？,電気事業法第2条（定義）より,小売供給/一般供給/家庭供給/小規模供給,,,,,,,,,
1,3,,電気事業法の定義（1b）,「*小売電気事業者*」とは、*小売電気事業*を営むことについて{1}をいう。,電気事業法第2条（定義）より,経済産業大臣の#登録を受けた者/経済産業大臣に#届出した者/経済産業大臣に#許可を受けた者/経済産業大臣に#認可を受けた者,,,,,,,,,
1,4,,電気事業法の定義（1c）,「*小売供給*」とは{1}に応じ電気を供給することをいう。,電気事業法第2条（定義）より,一般の需要/公衆の需要/家庭の需要/小規模の需要,,,,,,,,,
1,5,,電気事業法の定義（2a）,*他の者から受電した者*が、同時に、その受電した場所以外の場所において、当該他の者に、その*受電した電気の量に相当する量*の電気を供給することを何という？,電気事業法第2条（定義）より,振替供給/接続供給/代送供給/代替供給,,,,,,,,,
1,6,,電気事業法の定義（2b）,「*振替供給*」とは、*他の者から受電した者*が、同時に、その受電した場所以外の場所において、当該他の者に、その{1}の電気を供給することをいう。,電気事業法第2条（定義）より,受電した電気の量#に相当する量/発電した電気の量#に相当する量/あらかじめ#申し出た量/余剰電力量#に相当する量,,,,,,,,,
1,7,,電気事業法の定義（3a）,*小売供給*を行う事業を営む他の者から受電した者が、同時に、その受電した場所以外の場所において、当該他の者に対して、当該他の者のその*小売供給を行う事業の用に供するための電気の量*に相当する量の電気を供給することを何という？,電気事業法第2条（定義）より,接続供給/振替供給/代替供給/直接供給,,,,,,,,,
1,8,,電気事業法の定義（3b）,「*接続供給*」とは、次に掲げるものをいう。!①{1}を行う事業を営む他の者から受電した者が、同時に、その受電した場所以外の場所において、当該他の者に対して、当該他の者のその*{1}を行う事業の用に供するための電気の量に相当する量の電気を供給すること*。!②省略（*非電気事業用電気工作物*）,電気事業法第2条（定義）より,小売供給/発電/送配電/送電,,,,,,,,,
1,9,,電気事業法の定義（4）,*振替供給*及び*接続供給*を総称して何という？,電気事業法第2条（定義）より,託送供給/代替供給/代送供給/託配供給,,,,,,,,,
1,10,1,電気事業法の定義（5a）,「*一般送配電事業*」とは、自らが{1}し、及び*運用*する{2}の*電気工作物*によりその{3}において{4}及び{5}を行う事業をいう。,電気事業法第2条（定義）より!ただし、*最終保障供給*及び*離島供給*を行う事業（*発電事業*に該当する部分を除く）を含むものとする。,維持/保守/管理,送電用及び#配電用/配電用及び#発電用/送電用及び#発電用,供給区域/管轄区域/監督区域/送配電区域,託送供給/振替供給/接続供給/小売供給,電力量調整供給/電圧調整供給/無効電力供給/負荷調整供給,,,,,
1,11,,電気事業法の定義（5b）,*一般送配電事業*は、次に掲げる*小売供給*を行う事業を*含む*ものとする。!①{1}!②{2},電気事業法第2条（定義）より!ただし、*発電事業*に該当する部分を除く。,最終保障供給/供給保障供給/電源保障供給/保障電力供給,離島供給/山地供給/過疎地供給,,,,,,,,
1,12,,電気事業法の定義（5c）,「*最終保障供給*」とは、その*供給区域*における{1}に応ずる電気の供給を{2}するための電気の供給をいう。,電気事業法第2条（定義）より,一般の需要/電気の需要/大規模な需要/小規模な需要,保障/保護/維持/継続,,,,,,,,
1,13,,電気事業法の定義（5d）,「*離島供給*」とは、その*供給区域内*に*離島*がある場合において、当該*離島*における{1}に応ずる電気の供給を{2}するための電気の供給をいう。,電気事業法第2条（定義）より,一般の需要/電気の需要/大規模な需要/小規模な需要,保障/支援/維持/補完,,,,,,,,
