テーマＩＤ,問題ＩＤ,タイトル,問題本文,解答１,解答２,解答３,解答４,解答５,解答６,解答７,解答８,解答９,解答１０
1,1,電気事業法の目的,電気事業法第１条より# この法律は、電気事業の{1}かつ{2}ならしめることによって、電気の{3}を保護し、及び電気事業の{4}を図るとともに、電気工作物の{5}を規制することによって、{6}を確保し、及び{7}を図ることを目的とする。,運営を適正/運用を適正/運営を適切/運用を適切,合理的/計画的/効率的,使用者の利益/使用者の設備/利用者の利益/利用者の設備,健全な発達/健全な発展/安定性の確保/安定性の向上,工事、維持#及び運用/工事、管理#及び運用/施工、検査#及び管理/工事、維持#及び運営,公共の安全/電気の保安/公衆の安全/電気の安全,環境の保全/環境の保護/供給能力の確保/電気の安定供給,,,
1,2,小売供給,電気事業法第２条より#「*小売供給*」とは、{1}に応じ電気を供給することをいう。#「*小売電気事業者*」とは、*小売電気事業*を営むことについて{2}をいう。,一般の需要/小規模な需要/事業者の需要/一般の電気設備,経済産業大臣の#登録を受けた者/経済産業大臣の#許可を受けた者/経済産業大臣に#承認を受けた者/経済産業大臣に#届出した者,,,,,,,,
1,3,供給の定義１,電気事業法第２条より#他の者から受電した者が他の者に*受電した電気の量に相当する量の電気*を供給することをなんというか？,振替供給/接続供給/間接供給/代替供給,,,,,,,,,
1,4,供給の定義２,電気事業法第２条より#*小売供給*を行う事業を営む他の者から受電した者が、当該他の者の*小売電気事業の用に供するための電気の量*に相当する量の電気を供給することをなんというか？,接続供給/振替供給/代替供給/代理供給,,,,,,,,,
1,5,供給の定義３,電気事業法第２条より#*振替供給*および*接続供給*を総称してなんというか？,託送供給/代送供給/代替供給/間接供給,,,,,,,,,
1,6,小売電気事業者の義務,電気事業法第２条より#*小売電気事業者*は、正当な理由がある場合を除き、その小売供給の相手方の電気の需要に応ずるために必要な{1}を確保しなければならない。,供給能力/発電能力/供給の安定性/発電の安定性,,,,,,,,,
1,7,電圧の維持,電気事業法第２６条より#*一般送配電事業者*は、その供給する電気の{1}の値を電気事業法施行規則第３８条で定める値に維持するように努めなければならない。|その電圧値は、その電気を{2}する場所において次のとおりとする。λ標準電圧１００[V]は#{3}[V]を超えない値λ標準電圧２００[V]は#{4}[V}を超えない値,電圧及び周波数/電圧/周波数,供給/使用,１０１±６/１００±５/１００±１０/１０１±９,２０２±２０/２０２±８/２００±２０/２００±１０,,,,,,
1,8,供給不足,電気事業法第３４条より#*経済産業大臣*は、電気の{1}を行わなければ電気の供給の不足が*国民経済*及び*国民生活*に悪影響を及ぼし、{2}を阻害するおそれがあると認められるときは、その事態を克服するため必要な限度において、*使用電力量*の限度、*使用最大電力*の限度、使用の*用途*若しくは使用を停止すべき*日時*を定めて、電気の{3}を制限すべきこと又は*受電電力*の容量の限度を定めて小売電気事業者等からの{4}を制限すべきことを命じ、又は勧告することができる。,需給の調整/需給の停止/使用の制限,公共の利益/事業者の利益/電気事業の発達/経済活動,使用/供給/受電,受電/供給,,,,,,
1,9,電気事業法第３９条,電気事業法第３９条より#{1}は、事業用電気工作物を主務省令で定める{2}に適合するように{3}しなければならない。,事業用電気工作物#を設置する者/電気主任技術者/事業用電気工作物#の管理者/一般用電気工作物#を設置する者,技術基準/保安規程/日本産業規格,維持/工事/管理/施工,,,,,,,
1,10,電気事業法第３８条の２（１）,電気事業法第３８条の２より抜粋#主務省令で定める技術基準は次によること。λ事業用電気工作物は、{1}を及ぼし、又は{2}を与えないようにすること。,人体に危害/社会的に影響/事業に損害,物件に損傷/人体に危害/公共の危害/建物に損傷,,,,,,,,
1,11,電気事業法第３８条の２（２）,電気事業法第３８条の２より抜粋#主務省令で定める技術基準は次によること。λ事業用電気工作物は、他の{1}その他の{2}に{3}的又は{4}的な障害を与えないようにすること。,電気的設備/負荷設備/供給設備/受電設備,物件の機能/設備の機能/受電設備/負荷設備,電気/物理/社会/継続,磁気/物理/継続/化学,,,,,,
1,12,電気事業法第３８条の２（３）,電気事業法第３８条の２より抜粋#主務省令で定める技術基準は次によること。λ事業用電気工作物の{1}により一般送配電事業者の{2}に著しい*支障*を及ぼさないようにすること。,損壊/破壊/不良/劣化,電気の供給/事業の継続,,,,,,,,
1,13,電気事業法第４２条（１）,電気事業法第４２条より#{1}は、事業用電気工作物の{2}に関する{3}を確保するため、保安を*一体的*に確保することが必要な事業用電気工作物の組織ごとに{4}を定め、当該組織における事業用電気工作物の{5}に、主務大臣に届け出なければならない。,事業用電気工作物#を設置する者/電気主任技術者/事業用電気工作物#の管理者/一般用電気工作物#を設置する者,工事、維持#及び運用/工事、管理#及び運用/施工、検査#及び管理/工事、維持#及び運営,保安/安全,保安規程/点検基準/保安基準/保安計画,使用の開始前/使用の開始後/工事の開始前/工事の開始後,,,,,
1,14,電気事業法第４２条（２）,電気事業法第４２条より#*事業用電気工作物を設置する者*及び{1}は、{2}を守らなければならない。,その従業者/電気主任技術者/電気設備の管理者/経営者,保安規程/点検基準/保安基準/保安計画,,,,,,,,
1,15,主任技術者の監督範囲,電気事業法施行規則第５６条より#主任技術者の監督範囲は次のとおり。λ①第１種電気主任技術者は、すべての事業用電気工作物の工事、維持及び運用。λ②第２種電気主任技術者は、電圧{1}[V]未満の事業用電気工作物の工事、維持及び運用。λ③第３種電気主任技術者は、電圧{2}[V]未満かつ発電所においては出力{3}[kW]未満の事業用電気工作物の工事、維持及び運用。|ただし、①～③において*第１種ダム水路主任技術者*及び*第１種ボイラー・タービン主任技術者*の監督範囲は除かれる。,１７万/１５万/１２万/１０万,５万/１万/３万/７万,5000/1000/2000/10000,,,,,,,
1,16,電気工事士法の目的,電気工事士法第１条より#この法律は、電気工事の{1}する者の{2}を定め、もって電気工事の{3}による{4}の防止に寄与することを目的とする。,作業に従事/作業を監督/作業を実施,資格及び義務/資格及び責任/技能及び義務/技能及び責任,欠陥/不良/劣化/損傷,災害の発生/火災の発生/感電の発生/機器の損傷,,,,,,
1,17,第一種電気工事士の工事可能範囲,電気工事士法第３条より#第１種電気工事士免状の交付を受けている者でなければ、{1}に係る電気工事の作業に従事してはならない。|ただし、*発電所*、*変電所*及び{2}[kW]以上の*需要設備*を除く。,自家用電気工作物/一般用電気工作物/高圧受電設備,５００/１０００/５０/２５０,,,,,,,,
1,18,第一種電気工事士の講習,電気工事士法第４条より#第１種電気工事士は、第１種電気工事士免状の交付を受けた日から{1}年以内に、自家用電気工作物の保安に関する講習を受けなければならない。,５/１０/３/８,,,,,,,,,
1,19,電気工事士免状の取扱い,電気工事士法第５条より#電気工事士等は、電気工事の作業に従事するときは、電気工事士免状等を{1}していなければならない。,携帯/保管/表示,,,,,１０/３０/２０/５０,,,,
1,20,電気工事業法の目的,電気工事業法第１条より#電気工事業の業務の適正化に関する法律（これを「電気工事業法」という。）は、電気工事業を営む者の{1}の規制を行うことにより、その業務の{2}を確保し、もって一般用電気工作物及び自家用電気工作物の{3}に資することを目的とする。,登録及び#その業務/登録及び#その組織/責任及び#その業務/責任及び#その組織,適正な実施/円滑な実施/合理的な実施/安全な実施,保安の確保/安全の確保,,,,,,,
1,21,電気用品安全法の目的,電気用品安全法第１条より#この法律は、電気用品の{1}を規制するとともに、電気用品の{2}の確保につき民間事業者の{3}な活動を促進することにより、電気用品による{4}の発生を防止することを目的とする。,製造、販売等/製造、開発等/開発、販売等/開発、輸入等,安全性/流通性/品質/性能,自主的/合理的/効率的/自発的,危険及び障害/感電/火災/感電及び火災,,,,,,
1,22,電気用品の定義,電気用品安全法第２条より#この法律において「*電気用品*」とは、次のものをいう。λ①{1}電気工作物の部分となり、又はこれに接続して用いられる*機械*、*器具*又は*材料*であって、政令で定めるものλ②{2}であって、政令で定めるものλ③{3}であって、政令で定めるもの,一般用/事業用/自家用,携帯発電機/非常用発電装置/小出力発電装置,蓄電池/一次電池/化学電池,,,,,,,
1,23,特定電気用品の定義,電気用品安全法第２条より#この法律において「特定電気用品」とは、*構造*又は*使用方法*、その他の*使用状況*からみて特に{1}の発生するおそれが多い電気用品であって、政令で定めるものをいう。,危険又は障害/感電又は火災/設備の損傷/供給支障,,,,,,,,,
1,24,電気用品の表示,電気用品安全法第１０条より#*届出事業者*は、*電気用品*の{1}及び*特定電気用品*の{2}の規定による義務を履行したときは、当該電気用品に{3}を付することができる。λまた、前項の規定により表示を付する場合でなければ、何人も、電気用品に同項の表示又はこれと*紛らわしい表示*を付してはならない。,技術基準への適合/安全性の確認/自主検査の実施,適合性検査/自主検査/安全検査/性能検査,ＰＳＥマーク/ＪＥＴマーク/ＳＥＦマーク/ＥＳマーク,,,,,,,
1,25,電気用品以外の使用禁止,電気用品安全法第２８条より#*電気事業者*、*自家用電気工作物を設置する者*、*電気工事士*等は*ＰＳＥマーク*が付されているものでなければ、電気用品を電気工作物の{1}に使用してはならない。,工事/設置/施工/接続,,,,,,,,,
