テーマＩＤ,問題ＩＤ,タイトル,問題本文,解答１,解答２,解答３,解答４,解答５,解答６,解答７,解答８,解答９,解答１０
1,1,電気事業法の目的,電気事業法第１条より# この法律は、電気事業の{1}かつ{2}ならしめることによって、電気の{3}を保護し、及び電気事業の{4}を図るとともに、電気工作物の{5}を規制することによって、{6}を確保し、及び{7}を図ることを目的とする。,運営を適正/運用を適正/運営を適切/運用を適切,合理的/計画的/効率的,使用者の利益/使用者の設備/利用者の利益/利用者の設備,健全な発達/健全な発展/安定性の確保/安定性の向上,工事、維持#及び運用/工事、管理#及び運用/施工、検査#及び管理/工事、維持#及び運営,公共の安全/電気の保安/公衆の安全/電気の安全,環境の保全/環境の保護/供給能力の確保/電気の安定供給,,,
1,2,小売供給,電気事業法第２条より#「小売供給」とは、{1}に応じ電気を供給することをいう。#「小売電気事業者」とは、小売電気事業を営むことについて{2}をいう。,一般の需要/小規模な需要/事業者の需要/一般の電気設備,経済産業大臣の#登録を受けた者/経済産業大臣の#許可を受けた者/経済産業大臣に#承認を受けた者/経済産業大臣に#届出した者,,,,,,,,
1,3,供給の定義１,電気事業法第２条より#他の者から受電した者が他の者に受電した電気の量に相当する量の電気を供給することをなんというか？,振替供給/接続供給/間接供給/代替供給,,,,,,,,,
1,4,供給の定義２,電気事業法第２条より#小売供給を行う事業を営む他の者から受電した者が、当該他の者の小売電気事業の用に供するための電気の量に相当する量の電気を供給することをなんというか？,接続供給/振替供給/代替供給/代理供給,,,,,,,,,
1,5,供給の定義３,電気事業法第２条より#振替供給および接続供給を総称してなんというか？,託送供給/代送供給/代替供給/間接供給,,,,,,,,,
1,6,電気事業法第２条,電気事業法第２条より#{1}とは、自らが維持し、及び運用する送電用及び配電用の電気工作物により、その供給区域において託送供給及び{2}を行う事業をいう。また、次に掲げる小売供給を行う事業を含むものとする。|〇その供給区域における#{3}に応ずる電気の供給を保障するための電気の供給（これを「最終保障供給」という。）|〇その供給区域内に離島がある場合において、当該離島における{3}に応ずる電気の供給を保障するための電気の供給（これを「離島供給」という。）「一般送配電事業者」とは、{1}を営むことについて{4}の{5}を受けた者をいう。,一般送配電事業/一般送電事業/送配電事業/一般電気事業,電力量調整供給/電力調整供給/電圧調整供給/電流調整供給,一般の需要/事業用の供給/自家用の供給/一般の供給,経済産業大臣/経済産業省/産業保安監督部/内閣総理大臣,許可/認可/届出/登録,,,,,
1,7,電気事業法第２条,電気事業法第２条より#{1}とは、自らが維持し、及び運用する送電用の電気工作物により一般送配電事業者に{2}を行う事業をいう。λ「送電事業者」とは、{1}を営むことについて{3}の{4}を受けた者をいう。,送電事業/送配電事業/一般送配電事業/小売電気事業者,振替供給/託送供給/接続供給/小売供給,経済産業大臣/経済産業省/産業保安監督部/内閣総理大臣,許可/認可/届出/登録,,,,,,
1,8,電気事業法第２条,電気事業法第２条より#{1}とは、自らが維持し、及び運用する送電用及び{2}の電気工作物により特定の供給地点において小売供給又は託送供給を行う事業をいう。λ「特定送配電事業者」とは、{1}を営むことについて{3}に{4}をした者をいう。,特定送配電事業/一般送配電事業/一般送電事業/送配電事業,配電用/供給用/送配電用/一般用,経済産業大臣/経済産業省/産業保安監督部/内閣総理大臣,届出/登録/許可/認可,,,,,,
1,9,電気事業法第２条,電気事業法第２条より#{1}とは、自らが維持し、及び運用する発電用の電気工作物を用いて電気を発電する事業をいう。「発電事業者」とは、{1}を営むことについて{2}に届出をした者をいう。,発電事業/一般送配電事業/一般送電事業/送配電事業,経済産業大臣/経済産業省/産業保安監督部/内閣総理大臣,届出/登録/許可/認可,,,,,,,
1,10,電気事業法第２６条,電気事業法第２６条より#一般送配電事業者は、その供給する電気の{1}及び周波数の値を電気事業法施行規則第３８条で定める値に維持するように努めなければならない。電気事業法第３８条に規定する電圧値は、その電気を供給する場所において次のとおりとする。標準電圧１００[V]は{1}[V]を超えない値標準電圧２００[V]は{2}[V]を超えない値,電圧/電流/電力/電力量,１０１±６/１０１±8/１０１±１０/１０２±２０,２０２±２０/２０２±１０/２０２±８/２０１±６,,,,,,,
1,11,電気事業法第３４条,電気事業法第３４条より#経済産業大臣は、電気の需給の調整を行わなければ電気の供給の不足が国民経済及び国民生活に悪影響を及ぼし、公共の利益を阻害するおそれがあると認められるときは、その事態を克服するため必要な限度において、{1}、{2}、使用の用途若しくは使用を{3}すべき日時を定めて、電気の使用を制限すべきこと又は受電電力の容量の限度を定めて小売電気事業者等からの受電を制限すべきことを命じ、又は{4}することができる。,使用電力量の限度/使用最大電力量の限度/最大需要電力量の限度,使用最大電力の限度/使用最大電力の限度/最大需要電力の限度,停止/一時停止/制限/中止,勧告/報告一時停止/一時中断,,,,,,
1,12,電気事業法第３８条,電気事業法第３８条より#「一般用電気工作物」とは、次に掲げる電気工作物をいう。λ①{1}[V]以下の電圧で受電する電気工作物。λ②受電のための電線路以外の電線路により{2}の場所にある電気工作物と電気的に接続されていないもの。λ③{3}に設置する小出力発電設備。|ただし、次に掲げる電気工作物を除く。λ①小出力発電設備以外の発電用の電気工作物と同一の{2}に設置するもの。λ②火薬類を製造する事業場に設置するもの。ただし、煙火を除く。λ③石炭坑に設置するもの。,600/700/1000/6600,構内以外/構外以外/構内/構外,構内/構内以外/構外以外/構外,,,,,,,
1,13,電気事業法第３８条,電気事業法第３８条より#{1}とは、一般用電気工作物以外の電気工作物をいう。λ{2}とは電気事業の用に供する電気工作物及び一般用電気工作物以外の電気工作物をいう。,事業用電気工作物/自家用電気工作物/,自家用電気工作物/事業用電気工作物,,,,,,,,
1,14,電気事業法施行規則第４８条,電気事業法施行規則第４８条より#「小出力発電設備」とは、次のとおり。λ①太陽電池発電設備であって出力{1}[kW]未満のもの。λ②風力発電設備であって出力{2}[kW]未満のもの。λ③水力発電設備であって出力{2}[kW]未満かつ最大使用水量が１[㎥/s]未満のものただし、ダムを伴うものを除く。λ④内燃力を原動力とする火力発電設備であって出力{3}[kW]未満のものλ⑤次のいずれかに該当する燃料電池発電設備であって出力{3}[kW]未満のもの#〇固体高分子型又は固体酸化物型の燃料電池発電設備であって、燃料・改質系統設備の最高使用圧力が０．１[MPa]未満のもの#〇道路運送車両法に規定する自動車に設置される燃料電池発電設備であって、道路運送車両の保安基準に適合するものλ⑥発電用火力設備に関する技術基準を定める省令に規定するスターリングエンジンで発生させた運動エネルギーを原動力とする発電設備であって出力{3}[kW]未満のものλただし、同一の構内に①～⑥の設備を設置する場合出力の合計が{4}[kW]以上となるものを除く。,50/20/30/10,20/30/40/50,10/20/30/50,50/40/20/10,,,,,,
1,15,電気事業法第３８条の２,電気事業法第３８条の２より#主務省令で定める技術基準は、次に掲げるところによらなければならない。λ①事業用電気工作物は、人体に危害を及ぼし、又は{1}に損傷を与えないようにすること。λ②事業用電気工作物は、他の電気的設備その他の物件の機能に{2}な障害を与えないようにすること。λ③事業用電気工作物の損壊により一般送配電事業者の{3}に著しい支障を及ぼさないようにすること。λ④事業用電気工作物が一般送配電事業の用に供される場合にあっては、その事業用電気工作物の損壊によりその一般送配電事業に係る電気の供給に著しい支障を生じないようにすること。,物件/他の工作物/建物,電気的又は磁気的/電気的又は機械的/電気的又は機能的,電気の供給/設備の運用/供給設備の機能,,,,,,,
1,16,電気事業法第４０条,電気事業法第４０条より#{1}は、事業用電気工作物が技術基準に適合していないと認めるときは、事業用電気工作物を{2}に対し、その技術基準に適合するように事業用電気工作物を{3}し、改造し、若しくは{2}し、若しくはその使用を一時停止すべきことを命じ、又はその使用を{3}することができる。,主務大臣/経済産業省/産業保安監督部/内閣総理大臣,設置する者/管理する者/運用する者/販売する者,修理/変更,移転/撤去,制限/禁止/廃止/中止,,,,,
1,17,電気事業法第４２条,電気事業法第４２条より#事業用電気工作物を設置する者は、事業用電気工作物の工事、維持及び運用に関する{1}を確保するため、保安を{2}に確保することが必要な事業用電気工作物の組織ごとに{3}を定め、当該組織における事業用電気工作物の使用の{4}に、主務大臣に届け出なければならない。事業用電気工作物を設置する者及びその{5}は、{3}を守らなければならない。,保安/保全/保守,一体的/全体的/一時的,保安規程/保安規則/保安教育,開始前/開始後,従業者/従業員/管理者/取扱者,,,,,
1,18,電気事業法第４２条,電気事業法第４２条より#事業用電気工作物を設置する者は、保安規程を変更したときは、{1}、変更した事項を{2}に届け出なければならない。{2}は、事業用電気工作物の工事、維持及び運用に関する{3}を確保するため必要があると認めるときは、事業用電気工作物を{4}に対し、{5}を変更すべきことを命ずることができる,遅滞なく/30日以内に,主務大臣/経済産業省/産業保安監督部/内閣総理大臣,保安/保全/保守,設置する者/管理する者/運用する者/販売する者,保安規程/保安規則/保安教育,,,,,
